id,lat,lon,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,frp,data
c220407c-bc17-3449-9251-063835a16c0e,-10.9958,-44.442101,2024-09-28 01:07:45,METOP-C,SANTA RITA DE CÁSSIA,BAHIA,Brasil,2928406,29,33,,,,Cerrado,,20240928
acf8a78a-f550-3771-b47d-6f657add406b,-19.8727,-42.1516,2024-09-28 01:05:12,METOP-C,SANTA RITA DE MINAS,MINAS GERAIS,Brasil,3159357,31,33,,,,Mata Atlântica,,20240928
fa5b07e9-f471-30ff-a046-d91788025236,-17.63765,-53.16391,2024-09-30 05:25:00,NOAA-21,SANTA RITA DO ARAGUAIA,GOIÁS,Brasil,5219407,52,33,,,,Cerrado,5.2,20240930
5a49bf95-5536-3c38-beae-4effccb82e2f,-17.65333,-53.12433,2024-09-29 17:24:00,NOAA-20,SANTA RITA DO ARAGUAIA,GOIÁS,Brasil,5219407,52,33,,,,Cerrado,62.4,20240929
2dfe6466-ff74-35b9-a6d8-0a36b63e55bb,-17.65757,-53.11283,2024-09-29 13:33:00,TERRA_M-T,SANTA RITA DO ARAGUAIA,GOIÁS,Brasil,5219407,52,33,,,,Cerrado,45.3,20240929
27d7f885-4b66-3451-a690-bb531238fac8,-17.65858,-53.0971,2024-09-29 04:51:00,NOAA-20,SANTA RITA DO ARAGUAIA,GOIÁS,Brasil,5219407,52,33,,,,Cerrado,1.5,20240929
48cc95e0-7882-3df0-9309-d176bd02ab22,-19.42577,-41.36914,2024-09-29 04:04:00,NOAA-21,SANTA RITA DO ITUETO,MINAS GERAIS,Brasil,3159506,31,33,,,,Mata Atlântica,0.9,20240929
1555f18e-ecdd-36d8-8a91-35111e82b1db,-14.84284,-48.9284,2024-09-29 16:35:00,NOAA-21,SANTA RITA DO NOVO DESTINO,GOIÁS,Brasil,5219456,52,33,,,,Cerrado,5.5,20240929
f247dd64-ed71-3376-b751-8340eee23bbf,-14.68953,-48.97375,2024-09-28 17:37:00,AQUA_M-T,SANTA RITA DO NOVO DESTINO,GOIÁS,Brasil,5219456,52,33,,,,Cerrado,10.0,20240928
30ce7abb-e0a0-301b-b1e2-fedb1f56e99a,-20.80765,-53.12083,2024-09-30 04:34:00,NOAA-20,SANTA RITA DO PARDO,MATO GROSSO DO SUL,Brasil,5007554,50,33,,,,Cerrado,2.7,20240930
3480b678-66e2-34d1-88cb-3e814849fab8,-20.809799,-53.1026,2024-09-30 01:09:40,METOP-B,SANTA RITA DO PARDO,MATO GROSSO DO SUL,Brasil,5007554,50,33,,,,Cerrado,,20240930
d60962ff-b47a-3952-82c9-c0dc7d6a533b,-20.80818,-53.11711,2024-09-29 18:15:00,AQUA_M-T,SANTA RITA DO PARDO,MATO GROSSO DO SUL,Brasil,5007554,50,33,,,,Cerrado,7.5,20240929
c76f4980-5ea3-3eb0-9125-2fececd0d689,-20.80208,-53.11108,2024-09-29 04:53:00,NOAA-20,SANTA RITA DO PARDO,MATO GROSSO DO SUL,Brasil,5007554,50,33,,,,Cerrado,1.6,20240929
b6fc4361-f912-38b3-9920-d94176ae8152,-20.80566,-53.11156,2024-09-28 17:43:00,NOAA-20,SANTA RITA DO PARDO,MATO GROSSO DO SUL,Brasil,5007554,50,33,,,,Cerrado,8.6,20240928
c6cb2982-d2a8-3c99-8568-916972c660e0,-20.80773,-53.10622,2024-09-28 05:12:00,NOAA-20,SANTA RITA DO PARDO,MATO GROSSO DO SUL,Brasil,5007554,50,33,,,,Cerrado,1.1,20240928
691e1550-e7a6-3a95-a549-d35b07ae3daa,-11.10915,-49.586,2024-09-30 04:32:00,NOAA-20,SANTA RITA DO TOCANTINS,TOCANTINS,Brasil,1718899,17,33,,,,Cerrado,1.6,20240930
87627273-4b52-3a49-8584-e9c2650493ee,-11.10606,-49.58364,2024-09-29 17:26:00,NOAA-20,SANTA RITA DO TOCANTINS,TOCANTINS,Brasil,1718899,17,33,,,,Cerrado,3.8,20240929
910fc9d4-7f4f-3a44-8337-495a493db1e3,-11.1042,-49.58368,2024-09-29 04:49:00,NOAA-20,SANTA RITA DO TOCANTINS,TOCANTINS,Brasil,1718899,17,33,,,,Cerrado,1.0,20240929
e0be9248-d254-36dc-b797-b274f727ed49,-11.11131,-49.58568,2024-09-28 17:39:00,AQUA_M-T,SANTA RITA DO TOCANTINS,TOCANTINS,Brasil,1718899,17,33,,,,Cerrado,15.4,20240928
e7844a01-81fb-3139-becd-f5a5efac574d,-9.49821,-70.44729,2024-09-29 18:19:00,NOAA-21,SANTA ROSA DO PURUS,ACRE,Brasil,1200435,12,33,,,,Amazônia,3.2,20240929
4bd179e0-b17d-3aec-acf8-1e6eb4223ce8,-9.44893,-70.43877,2024-09-29 06:31:00,NOAA-20,SANTA ROSA DO PURUS,ACRE,Brasil,1200435,12,33,,,,Amazônia,2.4,20240929
e1879502-d2c7-3364-8938-1092a45f2dd2,-11.34521,-48.4028,2024-09-29 17:26:00,NOAA-20,SANTA ROSA DO TOCANTINS,TOCANTINS,Brasil,1718907,17,33,,,,Cerrado,5.9,20240929
d3838b28-8d17-31f0-8b68-3454159c114f,-11.33853,-48.41553,2024-09-28 16:56:00,NOAA-21,SANTA ROSA DO TOCANTINS,TOCANTINS,Brasil,1718907,17,33,,,,Cerrado,46.1,20240928
94bda170-a239-3e7a-bc83-00b762a510dc,-11.33007,-48.40683,2024-09-28 04:21:00,NOAA-21,SANTA ROSA DO TOCANTINS,TOCANTINS,Brasil,1718907,17,33,,,,Cerrado,0.6,20240928
4476d75b-a7fc-3cfc-b030-4e1dd5997ee5,-19.93728,-40.74265,2024-09-29 04:04:00,NOAA-21,SANTA TERESA,ESPÍRITO SANTO,Brasil,3204609,32,33,,,,Mata Atlântica,1.3,20240929
b967603d-c3e0-378a-b6ff-6602c25e5ca3,-19.9559,-40.540798,2024-09-28 00:10:41,METOP-B,SANTA TERESA,ESPÍRITO SANTO,Brasil,3204609,32,33,,,,Mata Atlântica,,20240928
a92dacb3-928a-349c-888d-c559b78c67ab,-7.02905,-37.47953,2024-09-29 16:37:00,NOAA-21,SANTA TERESINHA,PARAÍBA,Brasil,2513802,25,33,,,,Caatinga,6.9,20240929
f3906aed-df41-340a-81ef-28a141f0e956,-10.2364,-47.78887,2024-09-29 17:26:00,NOAA-20,SANTA TEREZA DO TOCANTINS,TOCANTINS,Brasil,1719004,17,33,,,,Cerrado,5.6,20240929
4bf33174-e968-37ed-a967-eb7f5eb03ad9,-10.23921,-47.76955,2024-09-29 04:49:00,NOAA-20,SANTA TEREZA DO TOCANTINS,TOCANTINS,Brasil,1719004,17,33,,,,Cerrado,1.1,20240929
0814d63e-4c21-3520-89bf-0ec7e82ea142,-10.23985,-47.79282,2024-09-28 16:56:00,NOAA-21,SANTA TEREZA DO TOCANTINS,TOCANTINS,Brasil,1719004,17,33,,,,Cerrado,4.9,20240928
424ac146-b907-377e-8bd0-c45b39710ae0,-10.23388,-47.76028,2024-09-28 12:51:00,TERRA_M-T,SANTA TEREZA DO TOCANTINS,TOCANTINS,Brasil,1719004,17,33,,,,Cerrado,12.4,20240928
f50699a2-5a0f-33c3-83eb-e1762406b8f0,-10.45303,-50.75592,2024-09-30 05:23:00,NOAA-21,SANTA TEREZINHA,MATO GROSSO,Brasil,5107776,51,33,,,,Cerrado,3.3,20240930
faf5dafd-74f4-348e-9ebc-e2c430a3b0d5,-10.44735,-50.80142,2024-09-29 17:26:00,NOAA-20,SANTA TEREZINHA,MATO GROSSO,Brasil,5107776,51,33,,,,Cerrado,9.3,20240929
8d8781aa-0275-313d-a6b7-e82288eb13a3,-10.62004,-50.71316,2024-09-29 13:31:00,TERRA_M-T,SANTA TEREZINHA,MATO GROSSO,Brasil,5107776,51,33,,,,Cerrado,35.8,20240929
80d06e94-98a3-302d-9149-ed3604968030,-10.52003,-51.11116,2024-09-29 04:49:00,NOAA-20,SANTA TEREZINHA,MATO GROSSO,Brasil,5107776,51,33,,,,Cerrado,1.2,20240929
891c48b3-a9b2-3ef4-86cf-6034790ac77c,-10.45336,-50.79463,2024-09-29 01:07:00,TERRA_M-M,SANTA TEREZINHA,MATO GROSSO,Brasil,5107776,51,33,,,,Cerrado,5.3,20240929
8e2bd41e-31c2-3965-a073-05e6a399a240,-10.4539,-50.80841,2024-09-28 17:39:00,AQUA_M-T,SANTA TEREZINHA,MATO GROSSO,Brasil,5107776,51,33,,,,Cerrado,45.7,20240928
1c022ee0-af65-34f0-9b18-495ef135cca1,-10.60681,-51.09496,2024-09-28 12:51:00,TERRA_M-T,SANTA TEREZINHA,MATO GROSSO,Brasil,5107776,51,33,,,,Cerrado,21.5,20240928
c7a123d8-1c10-388b-a7ff-6c9037c420e6,-10.53101,-51.10313,2024-09-28 05:23:00,AQUA_M-M,SANTA TEREZINHA,MATO GROSSO,Brasil,5107776,51,33,,,,Cerrado,6.1,20240928
ad2f38ff-b726-3035-b806-305600c04e93,-10.4752,-51.178799,2024-09-28 01:08:20,METOP-C,SANTA TEREZINHA,MATO GROSSO,Brasil,5107776,51,33,,,,Amazônia,,20240928
bf407c55-e22f-386c-8175-9c4667eee7fa,-14.62439,-49.58812,2024-09-30 04:32:00,NOAA-20,SANTA TEREZINHA DE GOIÁS,GOIÁS,Brasil,5219704,52,33,,,,Cerrado,3.6,20240930
f5c06a68-cb80-3098-9a4e-42a6a391ef2a,-14.62265,-49.58083,2024-09-29 17:24:00,NOAA-20,SANTA TEREZINHA DE GOIÁS,GOIÁS,Brasil,5219704,52,33,,,,Cerrado,7.3,20240929
